time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000026, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000100, value: val0000000000100"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000073, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000046, value: val0000000000046"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000055, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000079, value: val0000000000079"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000084, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000048, value: val0000000000048"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000051, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000068, value: val0000000000068"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000040, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000076, value: val0000000000076"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000091, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000096, value: val0000000000096"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000089, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="Log items flushed"
time="2021-03-11T16:30:43-06:00" level=info msg="Log items flushing, threshold 10 met or shutdown signal given."
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000021, value: val0000000000021"
time="2021-03-11T16:30:43-06:00" level=info msg="offsets not found in index cache for key key0000000000028, adding new offset"
time="2021-03-11T16:30:43-06:00" level=info msg="Put command given for key: key0000000000001, value: val0000000000001"
